twitter_id,date,tweet
1545463602509148160,2022-07-08 17:43:30+00:00,b'\xd9\x83\xd9\x84 \xd8\xb3\xd9\x86\xd8\xa9 \xd9\x88\xd8\xa7\xd9\x86\xd8\xaa\xd9\x85 \xd8\xb7\xd9\x8a\xd8\xa8\xd9\x8a\xd9\x86 \xd9\x8a\xd8\xa7 \xd8\xb4\xd9\x88\xd8\xa8\xd8\xa7\xd8\xa8 \xf0\x9f\x8e\x89'
1545163760603734020,2022-07-07 21:52:02+00:00,b'\xd8\xac\xd8\xb2\xd8\xa7 \xd8\xa7\xd9\x84\xd8\xa8\xd8\xa7\xd8\xb1\xd8\xad\xd8\xa9 \xd8\xac\xd9\x81\xd9\x86\xd9\x8a \xd8\xb9\xd9\x86 \xd8\xa7\xd9\x84\xd9\x86\xd9\x88\xd9\x85.. \xd8\xb1\xd9\x8a\xd9\x85\xd9\x8a\xd9\x83\xd8\xb3 \xd9\x85\xd9\x86 \xd8\xa7\xd9\x84\xd8\xaa\xd8\xb1\xd8\xa7\xd8\xab \xd8\xa7\xd9\x84\xd9\x83\xd9\x88\xd9\x8a\xd8\xaa\xd9\x8a \xf0\x9f\x87\xb0\xf0\x9f\x87\xbc\xf0\x9f\x92\x9a https://t.co/jcmkWzj9R7'
1543192994886582272,2022-07-02 11:20:55+00:00,b'\xf0\x9f\x8e\xa7 \xd9\x8a\xd8\xa7 \xd8\xaa\xd8\xb1\xd9\x89 \xd8\xad\xd8\xaf \xd9\x8a\xd9\x82\xd8\xaf\xd8\xb1 \xd9\x8a\xd8\xae\xd9\x85\xd9\x86 \xd8\xa3\xd9\x86\xd8\xa7 \xd9\x83\xd9\x86\xd8\xaa \xd8\xa8\xd8\xa7\xd8\xb3\xd9\x85\xd8\xb9 \xd8\xa5\xd9\x8a\xd9\x87\xd8\x9f\n\xd9\x88\xd8\xa7\xd9\x84\xd9\x84\xd9\x87 \xd9\x84\xd9\x88 \xd8\xb9\xd9\x85\xd9\x84\xd8\xaa\xd9\x88\xd8\xa7 \xd8\xa7\xd9\x8a\xd9\x87 \xd9\x84\xd8\xa7\xd9\x8a\xd9\x88\xd9\x88\xd9\x88\xd9\x85\xd9\x83\xd9\x86 \xd8\xaa\xd8\xac\xd9\x8a\xd8\xa8\xd9\x88\xd9\x87\xd8\xa7 \xd8\xb5\xd8\xad\xf0\x9f\x98\x86 https://t.co/2Q9LsTTIwR'
1542949379455205383,2022-07-01 19:12:53+00:00,b'#\xd8\xa7\xd9\x86\xd9\x82\xd8\xb0\xd9\x88\xd8\xa7_\xd8\xb3\xd9\x8a\xd9\x84\xd9\x8a\xd9\x86 https://t.co/Manvc2SWH9'
1542943962788270080,2022-07-01 18:51:21+00:00,b'\xd8\xad\xd9\x81\xd9\x84\xd8\xa9 \xd8\xa3\xd8\xa8\xd9\x88\xd8\xb8\xd8\xa8\xd9\x8a \xd9\xa3\xd9\xa0 \xd9\x8a\xd9\x88\xd9\x84\xd9\x8a\xd9\x88 \xd8\xa7\xd9\x84\xd9\x82\xd8\xa7\xd8\xaf\xd9\x85 \xf0\x9f\x8e\x89\xf0\x9f\x92\x9a\n\xd8\xa3\xd8\xb4\xd9\x88\xd9\x81\xd9\x83\xd9\x85 \xd9\x87\xd9\x86\xd8\xa7\xd9\x83 https://t.co/yY6kTzqrPL'
1540653113283059713,2022-06-25 11:08:20+00:00,b'@magdy_ez \xd8\xa3\xd8\xa8\xd9\x88 \xd8\xb8\xd8\xa8\xd9\x8a \xd8\xa5\xd9\x86 \xd8\xb4\xd8\xa7\xd8\xa1 \xd8\xa7\xd9\x84\xd9\x84\xd9\x87 \xd9\x8a\xd9\x88\xd9\x85 \xd9\xa3\xd9\xa0 \xd9\x8a\xd9\x88\xd9\x84\xd9\x8a\xd9\x88 \xd8\xa7\xd9\x84\xd9\x82\xd8\xa7\xd8\xaf\xd9\x85\xf0\x9f\x91\x8f\xf0\x9f\x8f\xbc\xf0\x9f\x8e\x89'
1540400719794159620,2022-06-24 18:25:25+00:00,b'\xd8\xad\xd9\x81\xd9\x84 \xd8\xaa\xd9\x88\xd9\x86\xd8\xb3 \xd9\xa6 \xd8\xa3\xd8\xba\xd8\xb3\xd8\xb7\xd8\xb3 - \xd9\x85\xd9\x87\xd8\xb1\xd8\xac\xd8\xa7\xd9\x86 \xd8\xa7\xd9\x84\xd8\xad\xd9\x85\xd8\xa7\xd9\x85\xd8\xa7\xd8\xaa \xd8\xa7\xd9\x84\xd8\xaf\xd9\x88\xd9\x84\xd9\x8a \xf0\x9f\x87\xb9\xf0\x9f\x87\xb3\xf0\x9f\x8e\x89\n\xd8\xa3\xd8\xb4\xd9\x88\xd9\x81\xd9\x83\xd9\x85 \xd9\x87\xd9\x86\xd8\xa7\xd9\x83 \xf0\x9f\x91\x8f\xf0\x9f\x8f\xbc\xf0\x9f\x92\x9a\n\xd9\x84\xd9\x84\xd8\xaa\xd8\xb0\xd8\xa7\xd9\x83\xd8\xb1 \xd9\x88\xd8\xa7\xd9\x84\xd8\xad\xd8\xac\xd8\xb2: https://t.co/8C5vNi9Qls https://t.co/ZYssjDrI71'
1539903467128557568,2022-06-23 09:29:31+00:00,b'\xd8\xa7\xd9\x84\xd9\x84\xd9\x8a\xd9\x84\xd8\xa9 \xd9\x88\xd8\xb1\xd9\x8a\xd9\x85\xd9\x8a\xd9\x83\xd8\xb3 \xd8\xac\xd8\xaf\xd9\x8a\xd8\xaf (\xd9\x87\xd8\xaf\xd9\x8a \xd9\x8a\xd8\xa7 \xd8\xa8\xd8\xad\xd8\xb1 \xd9\x87\xd8\xaf\xd9\x8a).. \xd9\x81\xd9\x84\xd8\xb3\xd8\xb7\xd9\x8a\xd9\x86 \xf0\x9f\x87\xb5\xf0\x9f\x87\xb8\xf0\x9f\x92\x9a https://t.co/bmsI8kjCpw'
1537902703266828289,2022-06-17 20:59:11+00:00,"b'RT @AlARABINUK: \xd8\xb1\xd9\x8a\xd9\x85\xd9\x83\xd8\xb3 #\xd8\xad\xd9\x85\xd8\xb2\xd8\xa9_\xd9\x86\xd9\x85\xd8\xb1\xd8\xa9 \xd9\x88\xd9\x81\xd8\xb1\xd9\x82\xd8\xa9 #\xd8\xa3\xd9\x81\xd8\xb1\xd9\x8a\xd9\x83\xd9\x88\xd8\xa7 \xd9\x85\xd9\x86 \xd9\x88\xd8\xb3\xd8\xb7 #\xd9\x84\xd9\x86\xd8\xaf\xd9\x86 \xd9\x84\xd8\xa3\xd8\xba\xd9\x86\xd9\x8a\xd8\xa9 ""\xd9\x8a\xd8\xa7 \xd9\x85\xd8\xa7\xd8\xb4\xd9\x8a \xd9\x85\xd9\x85\xd8\xa8\xd9\x8a \xd9\x87\xd8\xa7\xd8\xaa \xd9\x84\xd9\x8a \xd8\xb7\xd9\x8a\xd8\xa9 \xd8\xb2\xd8\xb1\xd9\x8a .. \xd8\xad\xd8\xb3\xd9\x86 \xd9\x88\xd8\xac\xd9\x85\xd8\xa7\xd9\x84 \xd9\x8a\xd8\xa7\xd9\x88\xd8\xb2\xd8\xa7\xd8\xb1 \xd8\xa7\xd9\x84\xd8\xb3\xd9\x85\xd9\x80\xd9\x80\xd9\x80\xd8\xa7\xd9\x8a\xd9\x84\xd9\x8a"" \xd9\x85\xd9\x86 \xd8\xb1\xd9\x88\xd8\xa7\xd8\xa6\xd8\xb9\xe2\x80\xa6'"
1537896597530431495,2022-06-17 20:34:56+00:00,b'\xd9\x8a\xd8\xa7 \xd8\xb9\xd9\x8a\xd9\x86\xd9\x8a \xd9\x8a\xd8\xa7 \xd8\xb9\xd9\x8a\xd9\x86\xd9\x8a \xd9\x8a\xd8\xa7 \xd8\xb9\xd9\x84\xd9\x8a\xd9\x88\xd8\xa9 \xd8\xae\xd8\xaf \xd9\x82\xd9\x84\xd8\xa8\xd9\x8a \xd9\x8a\xd8\xa7\xd8\xa8\xd9\x86\xd9\x8a \xf0\x9f\x91\x8f\xf0\x9f\x8f\xbc\xf0\x9f\x92\x9a\xf0\x9f\x98\x8d https://t.co/QmDnGqZg2S'
1537814402614890496,2022-06-17 15:08:19+00:00,b'RT @MohamedAldhahab: @AlarabyTV2 @HamzaNamira \xd8\xa7\xd9\x84\xd9\x81\xd9\x86 \xd9\x84\xd8\xba\xd8\xa9 \xd8\xa7\xd9\x84\xd8\xb9\xd8\xa7\xd9\x84\xd9\x85 \xd8\xb1\xd8\xa8\xd9\x85\xd8\xa7 \xd8\xa8\xd8\xb9\xd8\xb6 \xd9\x85\xd9\x86 \xd9\x8a\xd8\xaa\xd9\x85\xd8\xb3\xd9\x83 \xd8\xad\xd8\xb1\xd9\x81\xd9\x8a\xd8\xa7\xd9\x8b \xd8\xa8\xd8\xa7\xd9\x84\xd8\xaa\xd8\xb1\xd8\xa7\xd8\xab \xd9\x84\xd8\xa7 \xd9\x8a\xd8\xb1\xd9\x89 \xd9\x81\xd9\x8a \xd9\x87\xd8\xb0\xd8\xa7 \xd9\x86\xd9\x88\xd8\xb9 \xd9\x85\xd9\x86 \xd8\xa7\xd9\x84\xd9\x81\xd9\x86 \xd8\xa7\xd9\x84\xd9\x81\xd9\x84\xd9\x83\xd9\x84\xd9\x88\xd8\xb1\xd9\x8a \xd8\xaa\xd8\xb7\xd9\x88\xd9\x8a\xd8\xb1 \xd9\x88\xd8\xa7\xe2\x80\xa6'
1537769282553188354,2022-06-17 12:09:01+00:00,b'RT @zajel_oman: *\xd9\x8a\xd8\xa7 \xd9\x85\xd8\xa7\xd8\xb4\xd9\x8a \xd9\x85\xd9\x85\xd8\xa8\xd9\x8a \xd9\x87\xd8\xa7\xd8\xaa \xd9\x84\xd9\x8a \xd8\xb7\xd9\x8a\xd8\xa9 \xd8\xb2\xd8\xb1\xd9\x8a.. \n\xd9\x85\xd8\xac\xd8\xaf\xd8\xaf\xd8\xa7 \xd8\xa7\xd9\x84\xd9\x81\xd9\x86\xd8\xa7\xd9\x86 \xd8\xa7\xd9\x84\xd9\x85\xd8\xb5\xd8\xb1\xd9\x8a \xd8\xad\xd9\x85\xd8\xb2\xd8\xa9 \xd9\x86\xd9\x85\xd8\xb1\xd8\xa9 \xd9\x88\xd9\x87\xd8\xb0\xd9\x87 \xd8\xa7\xd9\x84\xd9\x85\xd8\xb1\xd8\xa9 \xd8\xb1\xd9\x81\xd9\x82\xd8\xa9 \xd9\x81\xd8\xb1\xd9\x82\xd8\xa9 \xd8\xa7\xd9\x81\xd8\xb1\xd9\x8a\xd9\x83\xd9\x88\xd8\xa7 \n\n\xd9\x8a\xd8\xb4\xd8\xaf\xd9\x88 \xd8\xa8\xd9\x81\xd9\x86 \xd8\xa7\xd9\x84\xd8\xb4\xd9\x88\xd8\xa8\xd8\xa7\xd9\x86\xd9\x8a \xd8\xa7\xd9\x84\xd8\xa8\xd8\xad\xd8\xb1\xd9\x8a \xd8\xa7\xd9\x84\xd8\xb9\xd8\xb1\xd9\x8a\xe2\x80\xa6'
1537744950317703170,2022-06-17 10:32:20+00:00,b'\xf0\x9f\x92\x9a\xf0\x9f\x87\xb4\xf0\x9f\x87\xb2\xf0\x9f\x8e\x89\xf0\x9f\x8e\x89 https://t.co/rUa0E3d5Vq'
