twitter_id,date,tweet
1546495023759622144,2022-07-11 14:02:00+00:00,b'This thread and the kind comments. My eyes are sweating! https://t.co/JK5E3LfxP1'
1546458760901967872,2022-07-11 11:37:55+00:00,b'@AlfieBoe Oh dear...'
1546346258172100609,2022-07-11 04:10:52+00:00,b'@IainLoveTheatre @YoungSheldon @Amtrak Was there for the first time in May. It\xe2\x80\x99s gorgeous!'
1546345984472793089,2022-07-11 04:09:47+00:00,"b'@Equill @BeltingBonnie Stay in school, kids. Oh wow.'"
1546305079678046213,2022-07-11 01:27:14+00:00,b'@Equill Wait\xe2\x80\xa6 seeeeeriously?!?'
1546300429843443712,2022-07-11 01:08:46+00:00,b'Why is my cat cooing like a pigeon?'
1545767702647558144,2022-07-09 13:51:53+00:00,"b""@BangtanNoonaPi His sister is ARMY so I think we're safe!"""
1545751645061271553,2022-07-09 12:48:05+00:00,b'@paolo_sandejas'
1545751388931915776,2022-07-09 12:47:04+00:00,"b'Okay, Filo ARMY, you\'ll get a kick out of this one. In BTS V\'s vlog (https://t.co/9B6owNEfT5), head right to time stamp 25:56-ish. V starts singing to Paolo Sandejas\' ""Sorry."" Paolo is a recording artist from the Philippines. Congrats, Paolo!!! What a thrill!!!'"
1545735320821710849,2022-07-09 11:43:13+00:00,b'Happy ARMY Day!'
1544897898093363206,2022-07-07 04:15:36+00:00,"b'For reference, here\xe2\x80\x99s how they look. https://t.co/aSFPLmpJOo'"
1544897679360405504,2022-07-07 04:14:44+00:00,b'So this is where I am in #InTheSEOM. Which bungalow for V should I pick?'
1544689702976262146,2022-07-06 14:28:18+00:00,b'This might sum up my feelings the best after watching the series. And I will forever be a fan. https://t.co/1bU8jK668a'
1543750167857606656,2022-07-04 00:14:56+00:00,"b'It would be helpful if airlines would distribute arrival cards on the flight. We didn\xe2\x80\x99t get one on our flight home, so our time in line was extended beyond what it would\xe2\x80\x99ve been otherwise. We\xe2\x80\x99ve never encountered this before.'"
1543749758522892293,2022-07-04 00:13:18+00:00,"b'As of today, this pass is still a requirement for entry.'"
1543726397319180288,2022-07-03 22:40:28+00:00,"b'@victorlirio And do correct me if I\xe2\x80\x99m wrong, but isn\xe2\x80\x99t the GOP supposedly the party in favor of less government intervention, not more?'"
1543725569418104832,2022-07-03 22:37:11+00:00,"b'Word of warning to folks traveling to the Philippines: there are unscrupulous folks pretending to be the One Health Pass site, asking for payment. DON\xe2\x80\x99T FALL FOR IT! Apply for the official pass here: https://t.co/kBYhsBiAPo\n\nThe pass is free. You\xe2\x80\x99ll need your vax cards to apply.'"
1542918999826202631,2022-07-01 17:12:10+00:00,b'@Equill Common sense bid that idiot a not-so-fond farewell.'
1542835712352976903,2022-07-01 11:41:12+00:00,"b'Turned on the TV last night while trying to fall asleep. An SVU marathon was on, and who popped up on my screen and proceeded to turn in beautiful work? #EvaNoblezada and #AlexBrightman! Nic was watching with me and said, \xe2\x80\x9cWow, lots of Broadway people! That was good!\xe2\x80\x9d'"
1541824223169200128,2022-06-28 16:41:55+00:00,b'So excited for tonight!!!!! #DreamAgainTourUK @royalalberthall #icantbelievethisisactuallyhappeningohmygod @ Royal Albert Hall https://t.co/Ma7j1Qa8fY'
1539954749193191431,2022-06-23 12:53:17+00:00,b'@gobituin Wait\xe2\x80\xa6 a literal tornado?!?'
1539874591128133632,2022-06-23 07:34:46+00:00,"b'Wow, manifesting works! https://t.co/hDI6kcmtLn'"
1539868189311500288,2022-06-23 07:09:20+00:00,b'Love this article! What a great way to wake up! https://t.co/bFkUQOk2Bq'
1539033763941961728,2022-06-20 23:53:37+00:00,b'Please watch Ricky\xe2\x80\x99s passionate speech. May Pride Month be a truly happy one. https://t.co/ZgzA1eSirU'
1537966230560092165,2022-06-18 01:11:38+00:00,b'That\xe2\x80\x99s all. https://t.co/eQVnNndx8q'
1537118818849390594,2022-06-15 17:04:19+00:00,"b'You re\xf0\x9f\x85\xb0\xef\xb8\x8fdy for new liars, new secrets, and new horrors? #PrettyLittleLiarsOriginalSin premieres July 28th, only on @HBOMax! @PLLonMax https://t.co/FjEBB8hNk2'"
1537097039326105600,2022-06-15 15:37:46+00:00,"b'For those folks in Manila, I gathered a bunch of old Filipino coins of various denominations. What can I do with them? Are they worth anything?'"
1536635206731456513,2022-06-14 09:02:37+00:00,"b'Hang on, hang on... there will be an In the Soop spin-off with the Wooga Squad? TAKE MY MONEY! I am here for this!!!'"
1536564647133908995,2022-06-14 04:22:14+00:00,"b'@MerleDandridge @tellyleung I MISS YOU, MERLE!'"
1536540434528407552,2022-06-14 02:46:01+00:00,b'@riaosorio WAHAHAHAHAHAHAHAHAHAHA!!!!!!!!'
1536519952483733504,2022-06-14 01:24:38+00:00,b'@Equill I have the Air Queens. So comfy.'
1536502992467263488,2022-06-14 00:17:14+00:00,b'@Cassetape109 Gorgeous job! Congratulations to you!'
1536502895511838727,2022-06-14 00:16:51+00:00,b'@antwone_b Congratulations! Beautiful work!'
1536502624270393344,2022-06-14 00:15:47+00:00,"b'@summers0metimes Such gorgeous work! You possess, according to our mutual friend @zakiyayoung, \xe2\x80\x9cvocal cords steeped in collard greens at birth!\xe2\x80\x9d Congratulations! #CollardCords'"
1536394140665139200,2022-06-13 17:04:42+00:00,b'And how about a round of applause for those musicians and backup vocalists!!! Damn those harmonies were tight and the playing spot on! #ProofLive https://t.co/1v1WeNorLQ'
1536372858842013696,2022-06-13 15:40:08+00:00,"b""@tellyleung Of all the clips from all the years that the Tonys have existed, THAT'S ONE OF THE CLIPS THEY CHOSE!!!"""
1536372321857904641,2022-06-13 15:38:00+00:00,"b'@EmMostoles @bts_bighit Not gonna lie, I yelped in my living room when he was shown on cam!'"
1536348358956154886,2022-06-13 14:02:47+00:00,"b'Good Lord, my day is made! Anderson .Paak was giving me life playing for @bts_bighit in Yet to Come! Those are some serious chops and positive vibes! #ProofLIVE'"
1536344317811384320,2022-06-13 13:46:43+00:00,b'@tellyleung I YELLED WHEN I SAW YOU!!!!!'
1536284624338489344,2022-06-13 09:49:31+00:00,"b""Body chemistry is a strange thing. A cologne that I had kept here forever and didn't use because it smelled strange on me is super heavenly on Nic! Therefore, she gets to keep it! Sooooooo bizarre!"""
1536272346952122368,2022-06-13 09:00:44+00:00,"b""My apologies if your replies were deleted when I rearranged my thread. The thread was broken up in a way I didn't like, so I had to delete and start over. If Jungkook could do it for his IG account, I can do it for this little thread."""
1536269550173491203,2022-06-13 08:49:37+00:00,"b""Another reason: IT'S FESTA DAY 2022!!! Borahae, ARMY!"""
1536269442295939072,2022-06-13 08:49:12+00:00,"b""I guess the point of sharing all this is to say you're not alone. We all had our low points during this blasted pandemic which manifested in different ways, but signs that the healing continues keep showing themselves. And that's the reason for the smile on my face at 4:41am."""
1536269347651571713,2022-06-13 08:48:49+00:00,"b""Another sign that I'm now noticing: actually processing my mail. It's a task that I'd actively avoid, even in the best of times. But here I am going through it all! And staying on top of paperwork, which I really don't like."""
1536183234408730626,2022-06-13 03:06:38+00:00,"b""And just like that, the Tony Awards have come and gone. Congratulations to all the winners AND the nominees! I'm so happy and proud to be part of this community!"""
1536176435819421697,2022-06-13 02:39:37+00:00,"b'That was so lovely, @theebillyporter. An elegant, solemn and reverent performance. #TonyAwards2022'"
1536173261008117762,2022-06-13 02:27:00+00:00,b'JOAQUINA KALUKANGO!!!!!! OH MY GOD!!! #TonyAwards2022'
1536172751827902466,2022-06-13 02:24:59+00:00,"b'@GieSuperKinis It was nakakatamad to do literally anything, except for maybe baking bread. But that was it. Doing the ""record &amp; send"" things would be put off until the last possible minute because finding the motivation was so difficult. But we\'re slowly coming back!'"
1536171070918733824,2022-06-13 02:18:18+00:00,b'@Equill @tellyleung And forever 21.'
