twitter_id,date,tweet
1542250863309164544,2022-06-29 20:57:14+00:00,b'SUBSTANCE July 15th.\xf0\x9f\xa9\xb8 https://t.co/znkNvwphEc https://t.co/s6qvBO0Cjb'
1541568670018568192,2022-06-27 23:46:26+00:00,b'Think we might be crashing\xc2\xa0\xc2\xa0\nEveryone\xe2\x80\x99s laughing\xc2\xa0\nTime is just passing\nYet nothing lasts'
1541499964030734336,2022-06-27 19:13:25+00:00,"b""RT @GMA: @bep @theestallion @aespa_official @OneRepublic AUGUST 19: We'll be hanging on by the skin of our teeth until @ddlovato plays in o\xe2\x80\xa6"""
1539385730127958016,2022-06-21 23:12:13+00:00,b'Y\xe2\x80\x99all already know.. https://t.co/VEL8SI7SsV'
1537184132022669312,2022-06-15 21:23:51+00:00,b'@daniellebosland I\xe2\x80\x99m excited to go back to my rock roots!'
1537182159227670529,2022-06-15 21:16:00+00:00,b'@demifcknlovato So excited! Can\xe2\x80\x99t wait to see y\xe2\x80\x99all! \xf0\x9f\xa4\x8d'
1537181655294562304,2022-06-15 21:14:00+00:00,b'@Marreslifee \xf0\x9f\x91\x80'
1537180285321682944,2022-06-15 21:08:34+00:00,b'@onlyxdemi Sorry not Sorry!'
1536827495571279873,2022-06-14 21:46:42+00:00,b'Going to be answering your questions tomorrow at 3PM ET! Ask me anything using the hashtag #AskDemi \xf0\x9f\xa9\xb8'
1536462444301672448,2022-06-13 21:36:07+00:00,b'Who watched the @FallonTonight performance? \xf0\x9f\x98\x8f https://t.co/X85Au2V8dO'
1536403343559405575,2022-06-13 17:41:16+00:00,b'RT @pandoramusic: Made it through the week by the skin of our teeth waiting for @ddlovato to drop their new single! \n\nListen to \xe2\x80\x9cSkin Of My\xe2\x80\xa6'
1535330124710785025,2022-06-10 18:36:41+00:00,b'Thanks for having me @jimmyfallon! \xe2\x9d\xa4\xef\xb8\x8f\xe2\x80\x8d\xf0\x9f\x94\xa5\xe2\x9d\xa4\xef\xb8\x8f\xe2\x80\x8d\xf0\x9f\x94\xa5\n@FallonTonight https://t.co/f0Ckl8R9LO'
1535329715770236930,2022-06-10 18:35:03+00:00,b'Get your tickets to the freak show. #HOLYFVCKTOUR tickets on sale now \xf0\x9f\xa9\xb8 https://t.co/AUQjfnU3Hd https://t.co/bVJJpggwnf'
1535123111854620679,2022-06-10 04:54:05+00:00,b'RT @FallonTonight: .@ddlovato put Jimmy\xe2\x80\x99s face on their #HOLYFVCK album cover! #DemiOnFallon https://t.co/1HzzP8uXqj'
1535114184719048705,2022-06-10 04:18:37+00:00,b'Skin of my Teeth \xf0\x9f\xa9\xb8 OUT NOW https://t.co/dlvITxEmqf https://t.co/Qlj6jBNC4v'
1534900552781414401,2022-06-09 14:09:43+00:00,b'#HOLYFVCKTOUR https://t.co/Sxjaiw9EJ7\nSOMT \xf0\x9f\x91\x80 https://t.co/4HbNSxrfr4'
1534178154914324481,2022-06-07 14:19:10+00:00,b'See you on the #HOLYFVCKTOUR \xf0\x9f\xa9\xb8\n\nTickets are available today at noon until Thursday at 10pm for @Citibank cardmembers at https://t.co/pYqW1s4SBy https://t.co/SqMd0fwvZC'
1533890723912724480,2022-06-06 19:17:01+00:00,b'HOLY FVCK \xf0\x9f\xa9\xb8 8/19 | https://t.co/0kHeJGhxdi https://t.co/HnbmNrXmZS'
1533251383461175296,2022-06-05 00:56:30+00:00,b'https://t.co/TIhCMeOCvy'
1533251343049060355,2022-06-05 00:56:21+00:00,b'I\xe2\x80\x99m just trying to keep my head above water \nI\xe2\x80\x99m your son and I\xe2\x80\x99m your daughter \nI\xe2\x80\x99m your mother I\xe2\x80\x99m your father \nI\xe2\x80\x99m just a product of the problem..\n#SOMTJUNE10TH\n\nhttps://t.co/uEukE8a5HF https://t.co/ARSJG94nUo'
1532441651385446401,2022-06-02 19:18:55+00:00,b'\xf0\x9f\xa9\xb8 @FallonTonight 6/9 https://t.co/d88nEQVdJ1'
1532137808609038337,2022-06-01 23:11:33+00:00,b'The reaper knocks on my door\xe2\x80\xa6.\nSkin of My Teeth 6/10\xf0\x9f\xa9\xb8https://t.co/uEukE8rH6f https://t.co/HBECwXgoBA'
1529871166969499648,2022-05-26 17:04:44+00:00,b'Skin of My Teeth \xf0\x9f\xa9\xb8June 10th. https://t.co/U8gY7pk5DG https://t.co/N6KklINfvj'
1528828201761312768,2022-05-23 20:00:22+00:00,b'@twistedrealityv @hallucivato My Street'
1519790847742517249,2022-04-28 21:29:09+00:00,"b'Get your tickets to the freakshow baby, step right up to watch the FREAK GO CRAZY\xe2\x80\xa6. https://t.co/88Ng5Kjs6V'"
1518730825252057090,2022-04-25 23:17:00+00:00,"b'I got two wolves inside of me, but I decide which one to feed\xe2\x80\xa6.. https://t.co/045cCzTHwJ'"
1517202795568320512,2022-04-21 18:05:09+00:00,b'Come make this place new to me by christening the city of angels\xe2\x80\xa6. https://t.co/sWENnqVZBQ'
1512140055384510476,2022-04-07 18:47:38+00:00,"b'You call me they, but I\xe2\x80\x99m still daddy\xe2\x80\x99s girl\xe2\x80\xa6 https://t.co/N21jtSBrlV'"
1511448544275664897,2022-04-05 20:59:48+00:00,b'I want you to make me scream at the Roxy\xe2\x80\xa6. https://t.co/YWaHJ5I7Ze'
1509964284289163265,2022-04-01 18:41:53+00:00,b'Does it matter if the shoes were on the bed if the sheets were already dirty? \xe2\x80\xa6 \xf0\x9f\x91\x80 https://t.co/MC3akLMGj4'
1509750684849082372,2022-04-01 04:33:07+00:00,"b'Got my mind on your body, and your body on my mind... Cool For the Summer (Sped Up Remix) out now\xe2\x80\xa6 https://t.co/yqZmTsJtsr'"
1509235778009899016,2022-03-30 18:27:04+00:00,b'https://t.co/YeqEVCIhws'
1508534354850598929,2022-03-28 19:59:52+00:00,b'The highest high can\xe2\x80\x99t hold a candle to getting wasted on you\xe2\x80\xa6 https://t.co/WmtgBw0YZZ'
1508482059928543234,2022-03-28 16:32:03+00:00,"b'Gimme the real shit, gimme the magic\xe2\x80\xa6. https://t.co/jGKhBHe0Bx'"
1507140832167489595,2022-03-24 23:42:30+00:00,"b'We dance in darkness, your hands send shivers down my spine\xe2\x80\xa6 https://t.co/RhGZs2GG8X'"
1506397286531706881,2022-03-22 22:27:55+00:00,b'He said it\xe2\x80\x99s too early to be this turned on\xe2\x80\xa6. https://t.co/3UKAEctxl3'
1506379413193068545,2022-03-22 21:16:53+00:00,b'Thank you for everything! I love you so much! https://t.co/W9U3EAwFKu'
1505279284830633984,2022-03-19 20:25:22+00:00,b'Heard y\xe2\x80\x99all are still cool for the summer\xe2\x80\xa6 @KRITIKOZZZ https://t.co/qqq7MpYLWE'
