twitter_id,date,tweet
1545391112659034112,2022-07-08 12:55:27+00:00,b'@missingcon \xf0\x9f\x92\x81\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f'
1545390995524784131,2022-07-08 12:54:59+00:00,b'@bncjeiley \xf0\x9f\x91\x80\xf0\x9f\x91\x80'
1545377716542873600,2022-07-08 12:02:14+00:00,b'Drop us a follow on tiktok for more of this sort of thing https://t.co/07KoC1NRTN'
1545376827862093826,2022-07-08 11:58:42+00:00,b'@primsimpstylesv It looks beautiful x'
1545047467581812737,2022-07-07 14:09:56+00:00,"b'A little behind the scenes of our tour poster shoot day, anyone recognise a familiar face in there? \xf0\x9f\xa5\x81 https://t.co/MMEL66d0Il'"
1545043155422044161,2022-07-07 13:52:48+00:00,b'Where are we thinking? \xf0\x9f\x8c\x8d\xe2\xac\x87\xef\xb8\x8f https://t.co/ZmJkoDhI8s'
1544237315660414979,2022-07-05 08:30:41+00:00,b'Ya boys are coming back to the o2 and we\xe2\x80\x99ve released more tickets \xf0\x9f\x92\xa5\xf0\x9f\x92\xa5In 2019 we became the first band to headline the o2 five years in a row which was unbelievable. Three years later we are heading back for our sixth o2 headline and we cannot wait. \xe2\x99\xa5\xef\xb8\x8f\xe2\x99\xa5\xef\xb8\x8f\xe2\x99\xa5\xef\xb8\x8f https://t.co/3rtnXznc6Z https://t.co/lZR5z1lgZj'
1543248548862590977,2022-07-02 15:01:40+00:00,"b'@alexsreputation There are still tickets for Liverpool available via other vendors, try https://t.co/3rtnXznc6Z x'"
1543201427358711809,2022-07-02 11:54:26+00:00,b'\xe2\x99\xa5\xef\xb8\x8f https://t.co/bPiCUI35Dl'
1542904648952061953,2022-07-01 16:15:08+00:00,"b""What a day! Thank you so much for all of your support, after 10 years it means so much to us that you're still coming to shows and that the family continues to grow. We want to see your memories from the last 10 years! Share using  #10yearsofthevamps &amp; we'll check them out \xe2\x9d\xa4\xef\xb8\x8f"""
1542857059770802178,2022-07-01 13:06:02+00:00,b'@laurenglancy15 Ireland tickets available here x https://t.co/j17IhDBtlP'
1542856789464678400,2022-07-01 13:04:58+00:00,b'@Phoebe_May4 Yes - London VIP here: https://t.co/FUinoBsnrh x'
1542850789101690881,2022-07-01 12:41:07+00:00,"b'DUBLIN &amp; BELFAST VIP, direct links here. You will need to purchase an event ticket separately, see you soon \xe2\x9d\xa4\xef\xb8\x8f \nDublin: https://t.co/tvktplyhTY\n\nBelfast: https://t.co/8bLeHRvg7u'"
1542847308789850114,2022-07-01 12:27:17+00:00,b'Some tickets still available via the venue also x https://t.co/CY5SdjQzuS'
1542847097342513156,2022-07-01 12:26:27+00:00,b'@FIZZYFFIONx https://t.co/CY5SdjQzuS x'
1542846442657783809,2022-07-01 12:23:51+00:00,b'@juliesuggit @TheVampsBrad @TheVampsCon @TheVampsJames @TheVampsTristan Tickets available for the new Manchester date here: https://t.co/Ob3nYgf5eY'
