twitter_id,date,tweet
1546332414594519040,2022-07-11 03:15:51+00:00,"b'RT @Lulamaybelle: .@Russo_Brother\xe2\x80\x99 #TheGrayMan has unrelenting, well-constructed action sequences. Battle of wits, bullets &amp; brawn. Ryan Go\xe2\x80\xa6'"
1545826871262056449,2022-07-09 17:47:00+00:00,b'@THR Sam Wilson is Captain America'
1543601153895718913,2022-07-03 14:22:48+00:00,"b'@bader_diedrich So heartbreaking. What a sweet, sweet guy. Sending so much love to you and your family \xf0\x9f\x92\x99'"
1541146800949788674,2022-06-26 19:50:05+00:00,b'This organization does such amazing things for the families of children with cancer who are coming to Massachusetts for treatment. Enter below and hopefully Ryan and I will see you at the premiere!! https://t.co/h0xGPWluMS'
1541050885194846208,2022-06-26 13:28:57+00:00,"b'This is a great thread. It offers links to donate, information about different clinics and their status, as well as support lines. I\xe2\x80\x99ve donated and if you have the means I hope you do too. https://t.co/N1yLPdUfY3'"
1541041866136846342,2022-06-26 12:53:06+00:00,b'RT @MaxBoot: We are living under minoritarian tyranny. To take but one example: 21 states with fewer total people than California have 42 S\xe2\x80\xa6'
1540361069788643328,2022-06-24 15:47:52+00:00,"b'RT @SenAngusKing: By overturning Roe v. Wade, this Supreme Court has erased nearly half a century of precedent upon precedent through a dan\xe2\x80\xa6'"
1540358915006889984,2022-06-24 15:39:18+00:00,"b""RT @MichelleObama: My thoughts on the Supreme Court's decision to overturn Roe v. Wade. https://t.co/9ALSbapHDY"""
1540357935070683138,2022-06-24 15:35:24+00:00,"b""RT @CoryBooker: This ruling is outrageous, heartbreaking, and puts Americans' lives in danger right now. They overturned Roe, but we will n\xe2\x80\xa6"""
1540357901356830720,2022-06-24 15:35:16+00:00,b'RT @RBReich: So states can decide you must carry a fetus but not whether you can carry a concealed gun?'
1540350054585737216,2022-06-24 15:04:05+00:00,"b'RT @ASP: On Tuesday, ASP\xe2\x80\x99s @ChrisEvans &amp; @MarkKassen were joined by @RepJimHimes where they discussed the recent public hearings on UFOs. D\xe2\x80\xa6'"
1540139380576231424,2022-06-24 01:06:57+00:00,"b'RIP iPhone 6s\n\nWe had a good run. I\xe2\x80\x99ll miss your home button. \n\nI won\xe2\x80\x99t miss the nightly battle of trying to get you to charge. Or your grainy pictures. Or your sudden drops from 100% battery, to 15%, to completely dead all within minutes. \n\nIt was a wild ride. Rest easy, pal.'"
1540000751187070976,2022-06-23 15:56:05+00:00,b'RT @TimeOutTravel: A new report suggests that the King of Planets has the remains of other planets hidden inside it \xf0\x9f\xaa\x90\n\nhttps://t.co/sJIG2t6\xe2\x80\xa6'
1539962055591165953,2022-06-23 13:22:19+00:00,b'RT @mcuban: Please help us spread the word.  We WONT SPEND A NICKEL ON MARKETING. WE COMPLETELY RELY ON WORD OF MOUTH  This allows us to pr\xe2\x80\xa6'
1538970548893634560,2022-06-20 19:42:26+00:00,b'@joshuahorowitz @AnthonyMackie \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82'
1538620620333883400,2022-06-19 20:31:56+00:00,b'RT @mindykaling: Saw @Pixar\xe2\x80\x99s Lightyear with my daughter this morning. We loved it! Buzz rules + SO much action + awesome friendships with\xe2\x80\xa6'
1538221551782449157,2022-06-18 18:06:11+00:00,"b""RT @TheMarySue: #Lightyear is a movie you won't want to miss! Check out our @RachelLeishman's review\n\n@AngusMacLane @ChrisEvans\n@KekePalmer\xe2\x80\xa6"""
1537960749833670656,2022-06-18 00:49:51+00:00,b'All you :) I had Little Shop of Horrors in my head for the rest of the day. https://t.co/jnRX6A2Uhe'
1537957715518992389,2022-06-18 00:37:47+00:00,"b""RT @Bosslogic: Since we are waiting on #whatIf? \nI'll #throwback some of mine\n\n\xf0\x9f\x87\xba\xf0\x9f\x87\xb8\xf0\x9f\x94\xa5 @ChrisEvans https://t.co/qJrtzodj4d"""
1537957408546295809,2022-06-18 00:36:34+00:00,b'RT @HeatherBrooker: We saw #Lightyear at @ElCapitanThtre and loved it! Check out this amazing pre-show for the special @PixarsLightyear scr\xe2\x80\xa6'
1537879057987252224,2022-06-17 19:25:14+00:00,"b'Greatest. Interview. Ever. \n\nAnd thanks for letting me bring in some older pups, Buzzfeed! They deserve all the love and attention too :) \n\nHow can I ever go back to regular interviews??? https://t.co/1fr0pEHQRI'"
1537850385402155011,2022-06-17 17:31:18+00:00,"b'Haha! Yeah, I think going low with \xe2\x80\x98Assemble\xe2\x80\x99 was the right choice. https://t.co/YcMCKk6sWR'"
1537823133310324736,2022-06-17 15:43:01+00:00,b'RT @3CFilmss: #Lightyear Isn\xe2\x80\x99t your typical space action adventure. It\xe2\x80\x99s SO MUCH MORE then that! This Lightyear origin takes unexpected twi\xe2\x80\xa6'
1537822970499964928,2022-06-17 15:42:22+00:00,"b'RT @donttrythis: #Lightyear, a @Pixar film directed by my friend @AngusMacLane, is a beautiful, heartfelt and hilarious love letter to the\xe2\x80\xa6'"
1537822673224536064,2022-06-17 15:41:11+00:00,"b""RT @PixarsLightyear: We're space rangers, we finish the mission. \xf0\x9f\xa7\x91\xe2\x80\x8d\xf0\x9f\x9a\x80\xf0\x9f\x98\xbb Go behind the scenes with Chris Evans, the voice of our legendary her\xe2\x80\xa6"""
1537822439199100931,2022-06-17 15:40:15+00:00,"b""RT @Pixar: Congratulations, you have successfully reached hyperspeed \xf0\x9f\x98\xb8\xf0\x9f\x8e\x89 Disney and Pixar's #Lightyear is \xf0\x9f\x9a\xa8NOW PLAYING\xf0\x9f\x9a\xa8 in theaters! https:/\xe2\x80\xa6"""
1537822395272249351,2022-06-17 15:40:05+00:00,b'RT @RottenTomatoes: #Lightyear is now officially #CertifiedFresh! https://t.co/BfPw09cl3E https://t.co/IlrLkDxDDZ'
1537821880887001088,2022-06-17 15:38:02+00:00,b'RT @ThisIsMax: Guys @ChrisEvans is awesome as #BuzzLightyear movie is all about leaning on ya friends for help and trying to enjoy life rig\xe2\x80\xa6'
1537821455844524034,2022-06-17 15:36:21+00:00,"b'RT @cwdarney: Saw #Lightyear last night, and absolutely loved it. It has heart, excitement, and SOX!!! Highly recommend, and not just becau\xe2\x80\xa6'"
