twitter_id,date,tweet
1538560334302158848,2022-06-19 16:32:23+00:00,b'@MakaaPauliter @pedroalfonsoo @paulitachaves Ayyyyyyy quer\xc3\xada recrear esa foto! Pero no s\xc3\xa9 qu\xc3\xa9 pas\xc3\xb3 con el flash de mi tel'
1533258684767391750,2022-06-05 01:25:31+00:00,b'@valeele \xe2\x99\xa5\xef\xb8\x8f\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbb\xf0\x9f\xa4\x8d'
1533137884995325953,2022-06-04 17:25:30+00:00,b'RT @Poggi: Hice este video resumen de mis \xc3\xbaltimas 72hs en Villa La Angostura con @VolvoCarArg #VolvoEnergyTour \n@zairana #Betular \n@RadioBe\xe2\x80\xa6'
1530239293532299272,2022-05-27 17:27:32+00:00,b'@AngeldebritoOk Que l\xc3\xado \xf0\x9f\xa5\xb9. Al hip\xc3\xb3dromo s\xc3\xb3lo le puedo hacer 6 vueltas si son a caballo \xf0\x9f\x98\xaa'
1528346460726743040,2022-05-22 12:06:06+00:00,b'@RomiEnrique_ @lizardoponce \xf0\x9f\xa4\x8d\xf0\x9f\x98\x8d'
1514788981828816899,2022-04-15 02:13:31+00:00,"b'@AngeldebritoOk \xc3\x81ngel, lo acabo de desmentir en tu programa y ahora pones esto?'"
1507847656340549636,2022-03-26 22:31:10+00:00,b'@AgusGuizzo \xf0\x9f\xa5\xb2 quiz\xc3\xa1 alg\xc3\xban d\xc3\xada'
1507233043869700103,2022-03-25 05:48:55+00:00,b'RT @holareinis: amo los looks de Zaira Nara a veces son cl\xc3\xa1sicos y a veces se la juega m\xc3\xa1s pero siempre on point https://t.co/ChQc0y8h34'
1506964836395143169,2022-03-24 12:03:09+00:00,b'@valeele @SoyNatalita Hay pocholos \xf0\x9f\x98\x8b'
1506948127168684034,2022-03-24 10:56:45+00:00,b'@SoyNatalita Recuerdosssss'
1506593518600351751,2022-03-23 11:27:40+00:00,b'@Matias_Gusso @JPrandiOficial \xf0\x9f\x92\x94'
1505668307927502849,2022-03-20 22:11:13+00:00,b'RT @telefe: Un regalo para Roz\xc3\xadn\xf0\x9f\x92\x9bLa especial canci\xc3\xb3n que artistas argentinos que \xc3\xa9l amaba hicieron para rendirle homenaje\xe2\x9c\xa8#LaPe\xc3\xb1aDeMorfi\nht\xe2\x80\xa6'
1505648220319350786,2022-03-20 20:51:23+00:00,"b'RT @MoskitaMuertaOk: El legado de Gerardo Rozin se ve en esta pe\xc3\xb1a especial de @MorfiTelefe, la cantidad de artistas y figuras que lo recue\xe2\x80\xa6'"
1505637735352074241,2022-03-20 20:09:44+00:00,"b'RT @rociibell23: Chiquita Zai c\xc3\xb3mo lloraba hoy en el programa,de nota que lo quer\xc3\xada un mont\xc3\xb3n y que fue una gran p\xc3\xa9rdida para ella #LaPe\xc3\xb1aD\xe2\x80\xa6'"
1505628561805246465,2022-03-20 19:33:17+00:00,"b'RT @Altamirano_Caro: Banco a este tr\xc3\xado, Los \xc3\x81ngeles de Rozin !!! \xf0\x9f\x92\xaa\xf0\x9f\x8f\xbb @zairana @jescirio @JPrandiOficial https://t.co/Sb0UGZluZr'"
1505628396419649536,2022-03-20 19:32:37+00:00,b'RT @JEYMAMMON: Hermosa foto  @jescirio @zairana @JPrandiOficial celebrando al capit\xc3\xa1n  Gracias Gerardo \xe2\x9d\xa4\xef\xb8\x8f#LaPe\xc3\xb1adeMorfi'
1505609247328927747,2022-03-20 18:16:32+00:00,b'@germanpaoloski @JPrandiOficial @jescirio @telefe Gracias amigo querido'
1505609193021075456,2022-03-20 18:16:19+00:00,b'@connieansaldi @MorfiTelefe Te quiero amiga'
1505556780901797888,2022-03-20 14:48:03+00:00,"b'RT @MorfiTelefe: ""Gracias por honrar la vida"" \n\n\xc2\xa1Ya comenz\xc3\xb3 un programa lleno de recuerdos y emociones! \xe2\x9d\xa4\xef\xb8\x8f\xe2\x80\x8d\xf0\x9f\xa9\xb9\n\nHoy homenajeamos a Gerardo Ro\xe2\x80\xa6'"
1505334483632877571,2022-03-20 00:04:43+00:00,"b'RT @telefaan: El programa especial contar\xc3\xa1 con la conducci\xc3\xb3n de @jescirio, @zairana y @JPrandiOficial junto a Lito Vitale y \n@DosMasUnoOK l\xe2\x80\xa6'"
1503518859348770820,2022-03-14 23:50:04+00:00,b'@valeele Te juro que estaba leyendo muchos mensajes de la gente y pens\xc3\xa9 exactamente eso\xe2\x80\xa6 se hubiera imaginado todo este amor? Que ganas de mostrarme cada uno de los mensajes \xf0\x9f\x98\x9e'
1503518555572113409,2022-03-14 23:48:52+00:00,b'\xf0\x9f\x92\x94 https://t.co/lM4oscQTjx'
1502962055292375046,2022-03-13 10:57:32+00:00,b'@jescirio \xf0\x9f\x98\x9e\xe2\x99\xa5\xef\xb8\x8f'
1502746582281826314,2022-03-12 20:41:19+00:00,"b'Fue posta. Mi primer programa , los nervios se me fueron al instante cuando vi que GR hab\xc3\xada permitido divertirnos de esta manera. \xe2\x99\xa5\xef\xb8\x8f https://t.co/4ejxcEvEI5'"
1502718102693289984,2022-03-12 18:48:09+00:00,b'@lalioficial \xf0\x9f\x98\x9e\xe2\x99\xa5\xef\xb8\x8f'
1502718039069929472,2022-03-12 18:47:54+00:00,"b'RT @lalioficial: Se fue una d las personas m\xc3\xa1s c\xc3\xa1lidas,apasionadas y respetuosas de la televisi\xc3\xb3n.Logr\xc3\xb3 lo que pocos:generar una espacio pa\xe2\x80\xa6'"
1502714262816362502,2022-03-12 18:32:53+00:00,"b'Te recordar\xc3\xa9 siempre; Cada vez que pise un estudio de televisi\xc3\xb3n pensando en que estar\xc3\xadas revisando cada detalle. cuando escuche una buena canci\xc3\xb3n, cuando coma algo rico y hasta cuando comparta un postre con alguien. Gracias maestro, pero por sobre todo amigo \xe2\x99\xa5\xef\xb8\x8f https://t.co/jDbA7FOcoN'"
1477441210671419394,2022-01-02 00:46:48+00:00,b'RT @RevistaOHLALA: \xc2\xa1Un a\xc3\xb1o nuevo para compartir en comunidad! \xc2\xa1#EneroOHLAL\xc3\x81 arranca 2022 con todo!\nCorr\xc3\xa9 a buscar tu revista y hacela tu co\xe2\x80\xa6'
1475861425100779529,2021-12-28 16:09:18+00:00,b'@SebasSoldano \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82'
1472230810514243589,2021-12-18 15:42:32+00:00,b'RT @ultradiosas: #Milf\xf0\x9f\x94\x9e\n@zairana \xf0\x9f\x98\x8d https://t.co/A3KE7yTOxa'
1471680466612678663,2021-12-17 03:15:40+00:00,b'@peralta_nico @wandaicardi27 Se present\xc3\xb3? Jajajajajajaja AMO'
1469485025490001923,2021-12-11 01:51:46+00:00,b'\xf0\x9f\x92\x98 https://t.co/3BiQOgnYU9'
1469181032284909570,2021-12-10 05:43:48+00:00,b'RT @SoyNatalita: Es de otro planeta la belleza de @zairana. Y lo linda y buena mina que es. ZAIRIIIIIII MISS YOU https://t.co/6KI1zSNw7F'
1469180980074213381,2021-12-10 05:43:36+00:00,b'RT @SoyNatalita: Chicos paren todo el look de @zairana en la tapa de @genteonline es una cosa de LOCOS. como puede una persona ser tan bell\xe2\x80\xa6'
1468275090211020800,2021-12-07 17:43:55+00:00,b'\xf0\x9f\x92\x94 https://t.co/dhQVhIQW7F'
1468182591316500482,2021-12-07 11:36:21+00:00,b'Esos hashtags!! No s\xc3\xa9 si re\xc3\xadrme o llorar \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbb\xf0\x9f\xa4\x92\xf0\x9f\x98\x82 https://t.co/HNv6CS00PB'
1468000660108890112,2021-12-06 23:33:26+00:00,b'RT @telefe: [#FlorDeEquipo] \xc2\xa1@zairana reemplaz\xc3\xb3 a @Flor_de_P y debut\xc3\xb3 como conductora del ciclo! \xf0\x9f\xa4\xa9 Volv\xc3\xa9 a ver el programa completo \xe2\xac\x87\xef\xb8\x8f\nhttp\xe2\x80\xa6'
1468000511240593417,2021-12-06 23:32:50+00:00,b'Gracias Flor x prestarme un ratito tu lugar! Tenes un equipazo \xe2\x99\xa5\xef\xb8\x8f\xf0\x9f\xa5\xb0 https://t.co/RXTZyae2Yr'
1467957099493687297,2021-12-06 20:40:20+00:00,b'@LULICARRILLO Sos m\xc3\xa1s linda Lulita! Te espero para volver jaja'
1467693856946737157,2021-12-06 03:14:18+00:00,"b'RT @Rivadavia630: #AhoraEnRivadavia | @zairana: \xe2\x80\x9cNo hay muchas cosas que me generen lo mismo que estar en la tele\xe2\x80\x9d, con @pablomontagna y eq\xe2\x80\xa6'"
1467254119916138500,2021-12-04 22:06:57+00:00,b'RT @pablomontagna: Este domingo @zairana y @geobarbarossa en #PasaMontagna junto a @BeluCanonico y @SolTrezeguet por @Rivadavia630 https://\xe2\x80\xa6'
1467253901460004866,2021-12-04 22:06:05+00:00,b'Que lindo volver a @telefe por un ratito! Y para acompa\xc3\xb1a ese FLOR de equipo. @Flor_de_P muchas gracias Flor \xe2\x99\xa5\xef\xb8\x8f\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbb https://t.co/icdRssuOgg'
1457893206889164802,2021-11-09 02:10:01+00:00,b'RT @CocinaTelefe: \xc2\xa1Lleg\xc3\xb3 el momento de la gran final de #BakeOffArgentina! \xf0\x9f\xa5\xb0 \xc2\xbfQui\xc3\xa9n ganar\xc3\xa1 hoy? Miralo por https://t.co/P1RzLFNgAH y Mi Tel\xe2\x80\xa6'
1457893172479102976,2021-11-09 02:09:53+00:00,b'RT @paulokablan: Tensi\xc3\xb3n en #MasterChefArgentina https://t.co/Sdo2eRo8k3'
